label,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,y0,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,y18,y19,y20
A,0.171434596,0.669877887,0.279026002,0.606677413,0.336180091,0.472977102,0.349312067,0.342789173,0.3758322,0.260994762,0.296191752,0.367205679,0.297254443,0.277377039,0.278778553,0.376932621,0.268969297,0.443070799,0.233672723,0.354283988,0.232834116,0.253570199,0.22285001,0.376493692,0.223402232,0.438507199,0.173714012,0.357147425,0.166408166,0.260528624,0.171300963,0.378582031,0.178328097,0.436953098,0.112084858,0.376397789,0.103303231,0.297266543,0.120620944,0.373089582,0.13691923,0.418674827
A,0.318161696,0.857115149,0.416584462,0.798526883,0.464579165,0.639248252,0.46379447,0.511747003,0.489116907,0.432142496,0.403729647,0.536310554,0.426977843,0.478092164,0.427306265,0.59088552,0.412620246,0.633734465,0.336574763,0.53975898,0.366665959,0.480222881,0.374179333,0.610152423,0.354412645,0.632591367,0.276237845,0.564226449,0.305346459,0.513040245,0.324077159,0.6315431,0.306133449,0.646136403,0.217650369,0.601693749,0.25094226,0.562707186,0.273766458,0.643366456,0.259661138,0.658468306
A,0.0679138,0.699827611,0.132644236,0.667732835,0.191253498,0.557299197,0.194654554,0.429771602,0.200930193,0.338373542,0.195279688,0.420661896,0.175872266,0.347765416,0.159602925,0.419202864,0.171664238,0.454322338,0.130292982,0.402425855,0.108325861,0.338774174,0.097648904,0.461791605,0.11766243,0.48436296,0.071088977,0.398967147,0.047795638,0.34613958,0.046555374,0.461823404,0.066069551,0.492987663,0.010749653,0.40530169,-0.001255661,0.368020356,0.003024802,0.452103883,0.019716695,0.482257515
A,0.121388324,0.716035366,0.234737888,0.669580162,0.294167787,0.575911522,0.316869378,0.479863018,0.335333824,0.41716677,0.258279443,0.503135026,0.277539819,0.41920948,0.257665634,0.476716161,0.241704881,0.526892483,0.208784282,0.486253053,0.231103063,0.399903983,0.21212323,0.483774304,0.197400942,0.54014945,0.158093423,0.479649782,0.176350206,0.391415536,0.167640731,0.480646342,0.158835813,0.539259613,0.102312326,0.484466791,0.112373039,0.406590998,0.121946625,0.458424479,0.126852483,0.503573358
A,0.171761885,0.759182692,0.254197985,0.681292534,0.278602839,0.539346039,0.272074044,0.434983015,0.273357421,0.362992883,0.21767433,0.464449376,0.233100086,0.387183189,0.249701798,0.480635822,0.242513612,0.545583725,0.165981248,0.471380234,0.188212812,0.393296003,0.206658661,0.507814884,0.189478263,0.556411326,0.112921089,0.490464121,0.136985987,0.407561243,0.161464542,0.515965819,0.145448923,0.561101615,0.05256287,0.523496866,0.08386346,0.448883295,0.112064734,0.52069664,0.10445413,0.56046468
A,0.170402214,0.759073377,0.256409675,0.685678959,0.285186529,0.543259323,0.275235504,0.437568456,0.280518979,0.364015341,0.227964163,0.466511488,0.239091724,0.386565298,0.25193435,0.478715122,0.243470237,0.543318808,0.173689187,0.472496659,0.188910782,0.388488412,0.205670998,0.502700031,0.191584066,0.55396992,0.118828095,0.491773993,0.136380732,0.408629626,0.160193667,0.51873523,0.147931814,0.56572938,0.057980239,0.525319993,0.080415532,0.450172454,0.108763635,0.521342993,0.105385572,0.560566604
A,0.400486678,0.911211967,0.457303464,0.854358912,0.487858087,0.748652279,0.496101737,0.671262205,0.49415794,0.610759795,0.436228305,0.65664494,0.46802792,0.635733843,0.475739449,0.714506984,0.468843788,0.754920423,0.393682301,0.657710612,0.435756773,0.646481812,0.443431139,0.733703196,0.42871061,0.758357227,0.354499131,0.679707646,0.39674148,0.672209442,0.409138501,0.751146853,0.395005435,0.768640459,0.318290293,0.714732409,0.360346317,0.70802623,0.377535671,0.761084616,0.367484242,0.775099158
A,0.269259661,0.572091877,0.344850451,0.520016909,0.397047609,0.409689307,0.413699687,0.300935984,0.405607224,0.214261785,0.36206454,0.321980715,0.367368579,0.242667884,0.360961139,0.324032575,0.353015989,0.382815182,0.311292082,0.315437913,0.316119611,0.228867635,0.315346032,0.331964225,0.310477406,0.391756117,0.25912267,0.322043538,0.260993809,0.243998021,0.27181235,0.347332746,0.272829711,0.403590262,0.204771072,0.341380656,0.21051383,0.27374649,0.228461534,0.343424618,0.234744698,0.388331324
A,0.257461727,0.715243459,0.33442533,0.629299164,0.355102181,0.500080884,0.340487421,0.389665097,0.325658798,0.31808126,0.295364827,0.422638357,0.283109665,0.356949478,0.294140309,0.446769565,0.296135038,0.494602054,0.23874031,0.43187505,0.225380182,0.351688296,0.248082072,0.453474522,0.253469557,0.497882634,0.189059377,0.455233574,0.169409662,0.373486102,0.201462656,0.46469149,0.21233964,0.508108139,0.142571837,0.492304087,0.119117275,0.426337659,0.151857764,0.472823977,0.172800496,0.500169516
A,0.256993562,0.727671266,0.335230023,0.66737318,0.36580348,0.533022285,0.352937847,0.418378621,0.367638409,0.346344411,0.312825978,0.456936538,0.30720821,0.395048499,0.308888137,0.493289053,0.3081249,0.541570187,0.255030096,0.46566987,0.249495089,0.397464275,0.264063925,0.506790459,0.267676592,0.540260494,0.2031551,0.488365263,0.194551855,0.432246685,0.219992116,0.529340684,0.227994427,0.551270068,0.153940648,0.521437764,0.148734689,0.482953727,0.176746517,0.546772122,0.187968582,0.561549485
